Time (s),Iter_1_disp_error (m),Iter_1_rot_error (rad),Iter_2_disp_error (m),Iter_2_rot_error (rad),Iter_3_disp_error (m),Iter_3_rot_error (rad),Iter_4_disp_error (m),Iter_4_rot_error (rad),Iter_5_disp_error (m),Iter_5_rot_error (rad),Iter_6_disp_error (m),Iter_6_rot_error (rad),Iter_7_disp_error (m),Iter_7_rot_error (rad)
1.05,-0.001789821283762745,0.0013119372184184006,-0.00027654353683580863,0.00020866811147166042,1.906718631516013e-05,-2.3270235657360527e-06,-9.712354398314776e-07,2.2574209016107405e-06,3.9159942269136397e-07,-3.9454791882220785e-07,3.3002047856653394e-08,-1.1356499726722369e-08,-5.192925234785706e-10,1.9839781741082252e-08
1.1,-0.0035432258230240713,0.0027120270167609734,-0.000534305022551489,0.0003690726389702012,4.374976324462033e-05,-3.809153620018546e-05,-5.264408351476381e-06,8.062014076437585e-06,2.7639051220374605e-07,1.3340968691571975e-07,1.201035960841229e-07,-1.1903452294681482e-07,-7.16887401872035e-10,-2.015179793868338e-09
1.1500000000000001,-0.005890473173152083,0.004608935908079152,-0.0009946276500799808,0.0007937928490235821,8.203498874992388e-05,-7.793984585759486e-05,-5.288448666491974e-06,3.918201139156002e-06,-9.214123249563777e-07,1.8026364166402742e-06,1.235734679895517e-07,-3.55302712043426e-08,1.8942389955201033e-08,-2.7110332888324873e-08
1.2000000000000002,-0.007852792470394391,0.005722285503962553,-0.001608741257329807,0.001327797382331325,8.215516277132462e-05,-4.926136155612021e-05,6.4534279803976635e-06,-1.316281175671799e-05,-1.875783397449482e-06,1.9473757672007486e-06,-1.2074559810337782e-07,3.314009058251466e-07,3.459705381902989e-08,-3.024405954843434e-08
1.25,-0.0084052073022707,0.004862516086531758,-0.0021331402849694703,0.0015801899490832938,2.88432935470484e-06,6.841029506889432e-05,2.3423635266334175e-05,-2.7482616854921857e-05,-4.85644265135754e-07,-9.895824052558178e-07,-4.0070748906495535e-07,4.743402024776078e-07,-1.989852886630228e-09,4.072145411496142e-08
1.3,-0.007438422627516275,0.00231595470188173,-0.0022985025901633566,0.0012493694356752608,-0.00013189570840337062,0.00020354560987049554,2.9353052051872552e-05,-2.097151113491678e-05,2.9309151686057744e-06,-4.644986555982136e-06,-2.5954966136054747e-07,-7.690404935263573e-09,-7.539894254782187e-08,1.0362343988207148e-07
1.35,-0.006013174627073153,-3.7937012187988506e-05,-0.0020798110506881767,0.0005389372569170933,-0.00023635750362271946,0.00023738459271556087,1.4471952507727481e-05,6.9544557141287475e-06,5.375321938408395e-06,-4.973318527312295e-06,3.5409823805065965e-07,-7.563990394145528e-07,-9.226867751788159e-08,5.318070819219228e-08
1.4000000000000001,-0.005289302209665198,-0.0008515731979265792,-0.0017527713881301255,-1.0804134114587166e-05,-0.0002479590118684011,0.0001496967422662896,-9.954208459575509e-06,2.9609451651169474e-05,3.975019935195667e-06,-5.040699668380083e-07,9.158934101832772e-07,-9.708277459840459e-07,-6.3231468117042056e-09,-8.57622950243414e-08
1.4500000000000002,-0.005467034728478787,-0.0005879486261489795,-0.0015817125659896292,-0.00017286584166922338,-0.0001956584948960699,4.4924435133550725e-05,-2.3727690721286887e-05,2.7609161241889252e-05,1.2796405990389559e-08,3.94109027567098e-06,7.988479077958299e-07,-2.4004993835757826e-07,1.1406838958116783e-07,-1.731026183973e-07
1.5,-0.006201571679277276,-7.751948616826002e-05,-0.0015882019209216558,-0.00014929134945483938,-0.00014088067439545215,-6.587742188934181e-06,-2.4165003618514813e-05,1.5493659693272335e-05,-2.5577209645383236e-06,4.020522370350513e-06,1.6309468121866733e-07,5.501193100533597e-07,1.3265641392312677e-07,-7.935043543419451e-08
1.55,-0.007508764856011929,0.0008758160040580297,-0.0017048090080216127,-7.804806952721975e-05,-9.355741040519006e-05,-4.1729856982501354e-05,-2.3073274158610935e-05,1.2136828350705134e-05,-2.8714520238781738e-06,2.232005975953688e-06,-2.5682201527932325e-07,5.62025874442304e-07,4.3423184659108216e-08,5.9080739718900266e-08
1.6,-0.00961951295858457,0.002714415571128533,-0.001972481364732631,0.00017358603038327217,-3.25643308594914e-05,-9.900289710712898e-05,-2.3936592465356732e-05,1.2260621727318982e-05,-3.1515585149910486e-06,2.2469141274950727e-06,-3.040421467231935e-07,2.830887032099355e-07,-2.0328233776845117e-08,6.479365129326287e-08
1.6500000000000001,-0.012345137381017973,0.005121074475299197,-0.0024666113985956084,0.0007046310982865463,3.0664153725351584e-05,-0.0001428323735197471,-1.900268281179729e-05,2.699053759836964e-06,-4.161716297801377e-06,3.0736933775057235e-06,-3.9723925601697907e-07,3.7162576940752423e-07,-1.9067361717306497e-08,1.4717091175939223e-08
1.7000000000000002,-0.014957843453788533,0.007103786546320927,-0.0031407519206318457,0.0013726114150610126,5.4237326863854074e-05,-0.00012202126381152117,-4.739440547990581e-06,-1.4207021511759843e-05,-4.31422836355555e-06,2.0076790864485827e-06,-6.677254448528291e-07,6.098804313271755e-07,-2.976522828213035e-08,3.481050996415047e-08
1.75,-0.016588386929764665,0.007705669493640582,-0.0038101255355775243,0.0018851961597492195,8.987975842034146e-06,-2.9225280647506013e-05,1.2887018015717011e-05,-2.7196645046849433e-05,-2.590745507707881e-06,-7.958599185405035e-07,-8.080542024668791e-07,4.929463540553902e-07,-8.438862147963633e-08,9.413949673270361e-08
1.8,-0.01680184724611078,0.006744118264595866,-0.004259616874365685,0.002009623609286429,-9.580467400174819e-05,9.336895469604783e-05,2.44989329457046e-05,-2.7679601655242192e-05,3.087560131731504e-07,-3.5058957479766617e-06,-6.070840594951665e-07,3.801713881895763e-08,-1.3130324733046095e-07,9.896464382014303e-08
1.85,-0.015854618374801482,0.004943979552041948,-0.004390180884567163,0.0017636101486761327,-0.00021627333275736627,0.000181811151716553,2.432169022137387e-05,-1.568582022445919e-05,2.774417642709137e-06,-4.334201327595155e-06,-1.4967390163378447e-07,-4.6084476199720337e-07,-1.2662919485206814e-07,4.184888503094841e-08
1.9000000000000001,-0.014314366424502428,0.0031156542490256497,-0.004268043664258675,0.0013774143057505017,-0.0003118670754012065,0.0002128013111717189,1.5913226171532235e-05,-2.992792349179596e-06,3.443066450892207e-06,-2.7714758299643427e-06,2.8077830802053505e-07,-6.469361361269299e-07,-6.870985960749643e-08,-4.3971134934539524e-08
1.9500000000000002,-0.01255433385579452,0.0014116842575737296,-0.003999883965416923,0.0009936647590257641,-0.0003798238076253013,0.00022526400675416253,6.9983731889600165e-06,1.6384834514993063e-06,2.9153209704924077e-06,-1.272015040243435e-06,3.9072831503617067e-07,-3.574837106265494e-07,7.92272747407452e-10,-8.981428792353974e-08
