Time (s),Iter_1_disp_error (m),Iter_1_rot_error (rad),Iter_2_disp_error (m),Iter_2_rot_error (rad),Iter_3_disp_error (m),Iter_3_rot_error (rad),Iter_4_disp_error (m),Iter_4_rot_error (rad),Iter_5_disp_error (m),Iter_5_rot_error (rad),Iter_6_disp_error (m),Iter_6_rot_error (rad),Iter_7_disp_error (m),Iter_7_rot_error (rad),Iter_8_disp_error (m),Iter_8_rot_error (rad),Iter_9_disp_error (m),Iter_9_rot_error (rad),Iter_10_disp_error (m),Iter_10_rot_error (rad),Iter_11_disp_error (m),Iter_11_rot_error (rad),Iter_12_disp_error (m),Iter_12_rot_error (rad),Iter_13_disp_error (m),Iter_13_rot_error (rad),Iter_14_disp_error (m),Iter_14_rot_error (rad),Iter_15_disp_error (m),Iter_15_rot_error (rad),Iter_16_disp_error (m),Iter_16_rot_error (rad),Iter_17_disp_error (m),Iter_17_rot_error (rad),Iter_18_disp_error (m),Iter_18_rot_error (rad),Iter_19_disp_error (m),Iter_19_rot_error (rad),Iter_20_disp_error (m),Iter_20_rot_error (rad),Iter_21_disp_error (m),Iter_21_rot_error (rad),Iter_22_disp_error (m),Iter_22_rot_error (rad),Iter_23_disp_error (m),Iter_23_rot_error (rad),Iter_24_disp_error (m),Iter_24_rot_error (rad),Iter_25_disp_error (m),Iter_25_rot_error (rad)
5.25,0.019217313243274248,-0.02023328788308447,-0.004663311543670723,-0.013592179503568239,-0.014359966518779244,0.002242677296467932,-0.01656100593759946,0.009674695185872995,-0.014655994328791666,0.011380564316841382,-0.011154595446084714,0.010413545727746124,-0.007254556061656314,0.007971691110576773,-0.0037998966508347998,0.005089817452506085,-0.0011922751393287911,0.0024440488237822827,0.0004218152575126699,0.0004344562794608292,0.0010436167699109378,-0.0006912851448240276,0.0009464925927136214,-0.0009825180733188943,0.0005663384389689163,-0.0007880553260845302,0.00019100831233703763,-0.0004333658930406742,-4.9180966814832416e-05,-0.00011145471888777958,-0.00011405324252872218,5.836222240231115e-05,-7.704761529081505e-05,8.465412537947414e-05,-2.5259207304728637e-05,5.045891741191355e-05,6.836070053195531e-06,9.20413498657624e-06,1.1387704715815072e-05,-9.229811767028084e-06,4.126228112133479e-06,-7.358912951130336e-06,-6.305086442393026e-07,-1.3275475938545611e-06,-1.5447966969506233e-06,1.5924894162383518e-06,-1.2985064751225295e-07,7.492116816804062e-07,3.5734078684956927e-07,-1.090203602255313e-07
5.300000000000001,0.02050111451614367,-0.016194797463426294,-0.0013754314263317302,-0.013920560868521087,-0.004334760875415844,-0.0083339749029398,-0.009892817385141806,0.0010807590301697284,-0.011237390089004151,0.005780327110204819,-0.010332208481643734,0.007682781446466391,-0.008087634411565015,0.007446808790952095,-0.005383964209019487,0.005924683822662022,-0.002838966870036652,0.0038687040909192727,-0.0008428383482879664,0.0018440750729789845,0.0003410006224203177,0.00032313538318788637,0.0007241841200991139,-0.000453578129199092,0.0006217684001593726,-0.0006294958214420332,0.00034650990694012895,-0.00048649128758156135,8.561095639902927e-05,-0.0002348593078013994,-5.0184463712299454e-05,-3.824180560867141e-05,-6.83703744270292e-05,4.144419636234464e-05,-4.026932012202167e-05,4.7473637261957746e-05,-8.058585226233816e-06,2.3490363311284845e-05,6.832879900386946e-06,1.207266799627127e-06,5.8455197234907885e-06,-5.636081608861865e-06,1.7799076312829953e-06,-3.806473124812193e-06,-1.0877838955702934e-06,-3.4000083082297294e-08,-6.594910905710627e-07,9.79497270417462e-07,4.575003442752745e-08,3.9053382570874984e-07
5.3500000000000005,0.02221136257598283,-0.013218306095066842,-0.003947937103704058,-0.0077980583879821985,0.003192876782327214,-0.014587817289051133,-0.002614225572657558,-0.006757263729921539,-0.0059987125958269605,-0.0008807452169106167,-0.0074079639613995885,0.0030562340040588276,-0.007123636216604667,0.0049393140670965785,-0.0057405523772429135,0.00514579331506132,-0.0038609013773567846,0.00424470467942957,-0.0019734729409595086,0.0027737145829985765,-0.0005148913142059564,0.0012777981217499818,0.0002684721959044789,0.00021862172322251183,0.00048644670808289936,-0.0002900411487622573,0.0003940144349589003,-0.0004003364012369476,0.0001885820348839773,-0.00028396497047582236,2.485276839070405e-05,-0.00011339685638145358,-3.775822216012248e-05,-8.99739782894704e-06,-3.904459482761968e-05,2.7452194049398804e-05,-1.8118334179972884e-05,2.5093037488974068e-05,-6.843238263831708e-07,9.574355186267591e-06,3.9331249957474945e-06,-3.310562081415558e-07,3.113068041349365e-06,-3.3638833989574346e-06,2.261610123066582e-07,-1.7108173328422849e-06,-5.176734976242159e-07,1.258354585254029e-07,-2.806674238020612e-07,5.796650488776312e-07
5.4,0.02608436096202471,-0.01320757606677516,-0.010621677242855787,0.002181542441590356,0.0057878952949563245,-0.014508147070491653,0.0029064054646743553,-0.011319661088677282,-0.0006516044846895941,-0.0064560540119289606,-0.0033485001996012564,-0.0019751405442729325,-0.004697201059123968,0.001246378141257859,-0.004778851177390131,0.0029809106719438233,-0.003955231411442939,0.0034265930015846546,-0.002635754818628433,0.002915094222929654,-0.001278351595759064,0.0018813788431286393,-0.00029606010098653934,0.0008497352530857788,0.00019547769532812787,0.0001484523409187033,0.00032236694450327175,-0.00019460108461663572,0.00023520998085724276,-0.000253261199014726,9.038455733767492e-05,-0.00015524426314104944,1.9564589903708907e-06,-5.2274530266877006e-05,-2.597133370779714e-05,2.7784693037435915e-06,-2.0569584538054908e-05,1.8038133260026012e-05,-6.5227950798441015e-06,1.1825695658079782e-05,3.1660295035651487e-07,3.945666343194154e-06,2.4951718758936536e-06,-8.17592834670422e-07,1.1783149985733488e-06,-1.8617379430457826e-06,1.6219203236023105e-07,-8.199180865225975e-07,-2.289553073242523e-07,1.077849596242686e-07
5.45,0.032918721805293816,-0.01692416275247706,-0.018145985378658025,0.012077901109359655,0.002660045872338479,-0.008148175667051685,0.00488932883002402,-0.011185506941396167,0.0030791668019200524,-0.009203610038275495,0.0005246230591378076,-0.0058126659791115365,-0.0016169593784473024,-0.002428067448902893,-0.002840188891070794,0.00015687615608822592,-0.0031179471720799157,0.001697550241774523,-0.002633506726265944,0.002221049714637685,-0.0017146501592117946,0.0019252627453026222,-0.0007983650950526555,0.0012288908115253294,-0.00016841061668348978,0.000552551379637306,0.00014754164402780434,8.03298086069354e-05,0.0002106369135495001,-0.00014307861310951242,0.0001300686348101876,-0.00015363550222154132,4.099807274166034e-05,-8.217820881829818e-05,-6.290420623000781e-06,-2.1218875357317812e-05,-1.7094431478348326e-05,7.92768687100931e-06,-9.208477878219767e-06,1.0204844055811124e-05,-2.6128575710826496e-06,5.285983892919233e-06,9.193693610298759e-07,1.2440224960441615e-06,1.1093083526203529e-06,-7.177756414233905e-07,6.889455589909055e-07,-9.557461705528292e-07,1.2643674157652995e-07,-3.922928912408752e-07
5.5,0.04229077900041889,-0.023732521926954006,-0.022867730396995745,0.017890792113215086,-0.005057713586806567,0.0024295138445891012,0.002677551867579675,-0.00636760351623511,0.00399774767965666,-0.008298201376127343,0.002987142723619274,-0.007321215875200127,0.0011371436692593218,-0.004975252449687689,-0.0005614668801540157,-0.00243330550374328,-0.0016492614325993582,-0.00035398438967705614,-0.0019990212465902935,0.0009600101437005487,-0.0017016237955545521,0.0014194099690647138,-0.0010813174496964728,0.0012299695914309572,-0.0004882287929146023,0.0007779845428767251,-7.668605746774526e-05,0.0003301239058848271,0.00011834213673261873,1.7878795380746326e-05,0.00012948322124489708,-0.0001007032347307979,6.88843712669529e-05,-8.851076383713241e-05,1.5921848310396225e-05,-4.128882470716411e-05,-9.08763488921549e-06,-4.28481406657133e-06,-9.429224044232853e-06,7.123205201367555e-06,-4.341575517430307e-06,5.222958510825437e-06,-3.928372183659157e-07,1.9328648123012604e-06,5.107131871850967e-07,2.0432575535689335e-07,6.906186141297788e-07,-3.9889798865433423e-07,3.8915407074568975e-07,-4.472417793333072e-07
5.550000000000001,0.052684890284166674,-0.0318051320674894,-0.021977428274227773,0.016868562804253646,-0.014545409630609352,0.013631189162696851,-0.0030635002062265326,0.0017480048647559726,0.0017413207981976653,-0.003915696061769211,0.0032389725309971973,-0.006035285103319923,0.00271686248701819,-0.005688449447414812,0.0013640710583412985,-0.004076303122512628,-1.0219753722784386e-05,-0.0021317663662128172,-0.0009569844662735139,-0.00045391985261375445,-0.0012763785497066915,0.0005754493190764098,-0.0010758613151057306,0.0008930941470260967,-0.000665839849055605,0.0007618604881713398,-0.0002740133331388672,0.00046269336843744735,-9.620053384673533e-06,0.00016665856710523785,8.63484279106097e-05,-1.2040398387688778e-05,7.427443628205133e-05,-6.271264036360191e-05,3.407320819714954e-05,-4.882256033424126e-05,2.5509122180689126e-06,-1.7468642587545324e-05,-7.046924263454102e-06,1.6783272094172963e-06,-5.2470828154072e-06,4.672676325354064e-06,-1.3727603542790234e-06,2.337483943973262e-06,5.248245832367715e-08,4.2458012419754887e-07,4.5440513474215294e-07,-2.9371859888716045e-08,3.8418803643969213e-07,-1.6411229911139635e-07
5.6000000000000005,0.062003036054249505,-0.03872965199531001,-0.014573732351943258,0.00856183908971793,-0.02203150400934689,0.021195770601731147,-0.010401673583900928,0.010577272788569896,-0.0030872449246147626,0.002788435725342958,0.0010757986045674683,-0.0021527827139502867,0.002575021106783537,-0.0042787152400464365,0.002352037669627882,-0.004323674016717266,0.0013305560577140385,-0.003199115153169313,0.00019208890766320152,-0.0016668328519668235,-0.0005824820796039298,-0.00035601973198158554,-0.0008132469537238673,0.0003645032368933404,-0.0006682337281802009,0.0005540720376411984,-0.00038747131601346574,0.00045390810511970747,-0.00012644810847090016,0.00024714142515659676,1.9047434541619168e-05,7.156084839912702e-05,5.4320860068290955e-05,-1.4635148224972916e-05,3.993114153211241e-05,-3.6643663363061796e-05,1.4065464533752348e-05,-2.5072717386900867e-05,-1.5287322405743708e-06,-6.268926072333647e-06,-4.7748971065963985e-06,2.2927993662547053e-06,-2.2948305010150882e-06,2.785075016692451e-06,-3.8496581905578253e-07,8.023877369339738e-07,3.505210055543273e-07,-6.296667451333171e-08,2.908765672215985e-07,-3.511373809772511e-08
5.65,0.06830525726107384,-0.04236063606408058,-0.002167969443896023,-0.0047493708756561615,-0.024049429851263515,0.021620575868589856,-0.016534481057948414,0.016807574644691126,-0.008911526641313006,0.009690248915171305,-0.002974674279879741,0.003365504445753814,0.0005871295748398619,-0.0009076225253687245,0.0020059906288558693,-0.00294731204431236,0.001959011432011326,-0.0032315613502049215,0.0011428996643949585,-0.002408789378737522,0.00020675564084327025,-0.0011919217873499338,-0.0003715755904725726,-0.0002304065962785845,-0.0005171864984011565,0.0002417728758915133,-0.0004039000559630801,0.0003469636463924314,-0.00020132160692881707,0.0002539826790038807,-4.484240734098366e-05,0.00011728679360613337,2.044983661514399e-05,2.9148766554201733e-05,3.1216888514928876e-05,-1.1290944695679928e-05,1.9509601453859826e-05,-2.0801619630167467e-05,5.188347825535455e-06,-1.2150453224724078e-05,-2.122931849202203e-06,-2.314453444174358e-06,-2.5915675144205785e-06,1.9976910145408366e-06,-1.0941087612015288e-06,1.540014642628651e-06,1.9589305649825306e-07,1.7659697122696105e-07,3.1871983979803176e-07,-1.568949742764003e-07
5.7,0.0705272951952089,-0.04163326405997484,0.01170829206091517,-0.018671767270780987,-0.01892138986322378,0.013839110175398767,-0.018694354708738925,0.017521314353088527,-0.01348620130667888,0.01408611633649711,-0.007595273803586877,0.008712656402670771,-0.0027811131172554293,0.003592550265042127,0.00024343599473364286,-7.481925631282194e-05,0.0015620638831680966,-0.0020072641226844823,0.001586213990595442,-0.0024013283540527466,0.0008977851280106974,-0.0017530765934455211,0.00016275641066459956,-0.0008124616173841442,-0.00024500918291325835,-0.0001323342487485335,-0.0003337807670960591,0.00018254241579422625,-0.00023098593999903994,0.00021898203652558068,-9.06264525383782e-05,0.00012915354724850336,-1.1310826809995955e-05,5.096013861317916e-05,1.5304680728467357e-05,9.976576870976417e-06,1.6672289567531973e-05,-8.149926096309712e-06,8.977910148311175e-06,-1.0882124452368802e-05,1.6148264940230028e-06,-6.014718942209951e-06,-1.4316209318021578e-06,-6.15997080052888e-07,-1.6676493262979264e-06,1.6090649292976877e-06,-2.412713275834477e-07,7.588936225683129e-07,2.822187293860523e-07,5.204402186986812e-11
5.75,0.06888441689296254,-0.036990748208484886,0.022795621502959884,-0.02835834015458734,-0.0077183491976516305,0.00012151749813966994,-0.015373870381403254,0.011692647603028329,-0.014686830645573856,0.013760886834264068,-0.010958237306384067,0.011658224445459185,-0.006405896171235714,0.007644256503919936,-0.0025138637362147054,0.0035328514283226933,7.726283709363901e-05,0.00036364085765485527,0.0012545432388755828,-0.001415750147735692,0.0012496407243917096,-0.001780981881631935,0.000667324384186152,-0.0012486072912590712,0.00011395005063913333,-0.0005417086441701427,-0.00017958055089312142,-4.4312921933062355e-05,-0.00021803218164151428,0.00015427399584099638,-0.0001211431280790376,0.0001309879388682808,-3.570583611944844e-05,5.9522082363087925e-05,1.5258351873659315e-06,1.803719307317403e-05,1.0170782019203184e-05,1.435251803211246e-06,7.956621569327194e-06,-4.175208970648436e-06,3.7013142242803276e-06,-5.284047974854489e-06,6.583608765931004e-07,-3.0158904139668263e-06,-1.3117045274402273e-06,2.0138941474179273e-07,-6.986098451400302e-07,9.977336056787856e-07,2.8909093841011924e-08,3.868761702940926e-07
5.800000000000001,0.0647776927600898,-0.0302057430798844,0.027781333503979266,-0.030497969944186486,0.006011294394696165,-0.01468879065694817,-0.007192289581479772,0.001026850608713159,-0.011526815351091735,0.008257252729485229,-0.01144953482117228,0.010589784876494,-0.008801798029548058,0.009437601540623078,-0.00530154966006019,0.0064986155607875545,-0.002118745884593931,0.0031803118962674126,8.797759428175178e-05,0.0004526255508246549,0.0010280537654996924,-0.0010515816165502512,0.0009511484771115852,-0.0013026017255478306,0.00047938116629164806,-0.0008763682928732211,5.47886153231536e-05,-0.0003321937476053402,-0.0001485485201183634,3.152626770416139e-05,-0.00013670952200972586,0.00012211806004615994,-5.8715887059801464e-05,7.284065105852416e-05,-9.456325186119052e-06,2.2448074221248504e-05,5.993086460653885e-06,2.200473412095061e-06,5.1449100378353485e-06,1.6632043612491154e-07,2.895635658306528e-06,-1.2550593186042014e-06,1.8541107357217257e-06,-2.666188169776762e-06,-1.2976283020327273e-07,-1.4747700027781252e-06,-5.865358318479785e-07,2.0639891731150106e-07,-2.747096543020966e-07,6.029777422714155e-07
