Time (s),Iter_1_disp_error (m),Iter_1_rot_error (rad),Iter_2_disp_error (m),Iter_2_rot_error (rad),Iter_3_disp_error (m),Iter_3_rot_error (rad),Iter_4_disp_error (m),Iter_4_rot_error (rad),Iter_5_disp_error (m),Iter_5_rot_error (rad),Iter_6_disp_error (m),Iter_6_rot_error (rad),Iter_7_disp_error (m),Iter_7_rot_error (rad),Iter_8_disp_error (m),Iter_8_rot_error (rad),Iter_9_disp_error (m),Iter_9_rot_error (rad),Iter_10_disp_error (m),Iter_10_rot_error (rad),Iter_11_disp_error (m),Iter_11_rot_error (rad),Iter_12_disp_error (m),Iter_12_rot_error (rad),Iter_13_disp_error (m),Iter_13_rot_error (rad),Iter_14_disp_error (m),Iter_14_rot_error (rad)
1.4500000000000002,-0.011914030804837203,-0.0005443818553818088,-0.002586178884757012,-0.0008278441887326921,-0.0010472080572955095,3.3269611074571853e-06,-0.0005338910358182736,0.00018347523930680766,-0.0002609568959755365,0.00016594230689099404,-9.590834319986308e-05,9.665797270829585e-05,-2.140545381440484e-05,3.5573507361059964e-05,7.850311130319643e-08,6.616435677826368e-06,2.249938851922595e-06,-1.0886240544467907e-06,5.995393448920971e-07,-8.708485894088486e-07,-5.9216249709281854e-08,-4.857824185446058e-08,-4.241490207668175e-08,7.068084401616603e-08,1.3031258155882242e-08,-6.618200832850252e-09,-1.350728848215077e-09,-2.680265434942819e-09
1.5,-0.014365333948480746,0.0011130075422873123,-0.0022788148207589787,-0.0008771358891577312,-0.000815047734833374,-7.401087238482346e-05,-0.0004027615927386652,1.475460546290601e-05,-0.00021790036998881046,4.93286316255552e-05,-0.0001013947573374474,5.144421725918405e-05,-3.667595282198788e-05,3.297564395341422e-05,-8.31570644559132e-06,1.302447186818552e-05,3.6206458894905147e-07,2.055766933944242e-06,8.629034559393123e-07,-5.729003731674148e-07,1.5794875668495578e-07,-2.895759795788072e-07,-4.376890436197378e-08,4.7292096714418586e-09,-6.946533515073128e-09,2.9000297026640642e-08,2.4941627790875387e-09,-5.054674965046524e-09
1.55,-0.01817232668932106,0.004127114995976946,-0.0019531098487003545,-0.0012188421284181784,-0.0006819689520639188,-0.0001491377971951282,-0.0003434174588109462,1.0938167628175496e-05,-0.00017776516914275176,1.6310133821547876e-05,-8.450215636865432e-05,1.724120631617712e-05,-3.6276343212404694e-05,1.5677944653557166e-05,-1.2835330881297291e-05,1.0528148327984543e-05,-2.411997660781151e-06,4.120243996551948e-06,3.8124191133193097e-07,4.1476027692888273e-07,2.8634083511225317e-07,-2.3758190701751725e-07,2.6857990623185835e-08,-8.874267136936564e-08,-1.5930278138287512e-08,1.211005630670503e-08,-5.45403139318168e-09,1.2408847380185328e-08
1.6,-0.023596969114941677,0.008946388142674995,-0.0019223274273558882,-0.0010021521454458386,-0.00039763100716730393,-0.0004921566616638978,-0.0002836044590786846,-5.9980801522099836e-05,-0.00015887483913469558,7.304182302011672e-06,-7.493404077053845e-05,1.2515666494947175e-05,-3.140813540356002e-05,7.619608060682043e-06,-1.2261218834130894e-05,4.868446893067577e-06,-3.7708077078174584e-06,3.1011324188399275e-06,-4.826731532653339e-07,1.1636552254522259e-06,1.721568614748703e-07,6.319314886996108e-08,8.22040380349387e-08,-9.36761952383125e-08,5.035380862272731e-09,-2.1413714672985362e-08,-9.246481427749309e-09,5.078719236828455e-09
1.6500000000000001,-0.029606979510718223,0.014002432457699762,-0.0027447295390718163,0.0003283117379471977,-6.833534339853453e-05,-0.0007091492610470252,-0.00014569396577882032,-0.00022231459582081753,-0.00011607398197416297,-5.263637909624051e-05,-6.664870002928702e-05,1.2068530378904485e-06,-2.9842654030748372e-05,6.965997167839022e-06,-1.130007441135783e-05,3.545807006751986e-06,-3.5728919916544477e-06,1.4573979993659503e-06,-8.99117697183982e-07,8.319565936235063e-07,-9.528574443362636e-08,3.304015114696801e-07,6.265018281936818e-08,-8.47987776005088e-09,3.0182810500933854e-08,-3.554797925117703e-08,-1.9996423961110565e-09,-6.628553777046631e-09
1.7000000000000002,-0.034284626856958655,0.016890865379737045,-0.004497429507648476,0.0024071788448759394,2.972641786769259e-05,-0.0005174696658542463,-4.848101979121333e-06,-0.0002921563147077616,-4.368298086881994e-05,-0.00012076590459875192,-4.29924699664741e-05,-3.035697051833111e-05,-2.5878480707342e-05,-4.458647328460519e-07,-1.1329199514797939e-05,3.2520297286973976e-06,-3.558202010034428e-06,1.4969749738240334e-06,-8.25106571261669e-07,3.575113987526468e-07,-2.1305638578383856e-07,2.0539584496062635e-07,-2.387915570833954e-08,9.576696943097707e-08,3.867347955766043e-08,-2.057891286891267e-08,6.956831360982463e-09,-1.3898537723489035e-08
1.75,-0.03600382371037589,0.016109826190639248,-0.006662189433022714,0.004273177555278181,-0.0002566958310130374,6.746613892719827e-05,3.063387881688251e-05,-0.000192900922841778,1.0042640061547203e-05,-0.00012429346370964461,-1.1139423290978945e-05,-5.3829930548858484e-05,-1.4933122108456987e-05,-1.394239338308595e-05,-9.529655289858274e-06,-4.487814616142838e-07,-3.83393225630857e-06,1.4543663076696522e-06,-9.161057768214409e-07,5.455199038606473e-07,-1.723256368157955e-07,6.228670097752076e-08,-6.042555350527223e-08,4.680819701632921e-08,1.5458119645428425e-08,2.3764826856398358e-08,1.1949222361584688e-08,-1.1848805624159464e-08
1.8,-0.034553863160991516,0.012319710733298357,-0.008414348294784019,0.005001848712099216,-0.0008581539938175842,0.0007582288338155094,-8.736957153460123e-05,4.785638883630927e-05,4.634038592299383e-06,-5.31123060591443e-05,7.164320727420792e-06,-4.642273426630483e-05,-2.332585360254047e-06,-2.1203809994249645e-05,-5.021259187110161e-06,-5.598818948002182e-06,-3.275730062840543e-06,5.433696536466526e-08,-1.1316240671466193e-06,6.160860315518324e-07,-2.2579779204723316e-07,1.8081578537915144e-07,-4.074080997562568e-08,-8.665042849909099e-10,9.52173487278607e-09,6.322488366183876e-10,7.648865152365403e-10,1.0605225177207078e-08
1.85,-0.031105134412781038,0.007662030425741526,-0.009267643598908387,0.004592170234307927,-0.0014872106608131153,0.0011392770737600616,-0.00031364664161839806,0.0002921129206782322,-6.593093334014699e-05,6.0093301337757477e-05,-1.0519001047981646e-06,-1.120457031353328e-05,3.5745772527795427e-06,-1.6080988267892782e-05,-3.8044314434881876e-07,-7.70824291353861e-06,-1.720428911639038e-06,-1.7614235771137854e-06,-1.0477408973197377e-06,1.9497571956267334e-07,-3.277537190538027e-07,2.2346916907223235e-07,-6.76839926883055e-08,5.988639222714864e-08,2.9000438717119437e-08,-2.3779965732662056e-08,-3.764454109544957e-09,8.944783524977851e-10
1.9000000000000001,-0.026957199905763507,0.0034705663047170446,-0.009365707953152752,0.003841926641297351,-0.0019372126033361803,0.0011862767103573493,-0.0005259758468854348,0.00038601174862399473,-0.00016335206225592813,0.0001398750577436894,-3.252957577548621e-05,3.1766402359467705e-05,-9.092074663152871e-07,-1.7228881257075335e-06,1.4525448861768542e-06,-5.284950506598274e-06,-1.1100417901532822e-07,-2.508648004162506e-06,-6.001141486799977e-07,-4.1179862394352673e-07,-3.310637066156197e-07,1.0811860160636622e-07,-1.1371322453102017e-07,8.14421474704119e-08,2.6481245807286058e-08,8.665189191181533e-10,4.085359162075974e-09,-8.955344278638311e-09
