Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
3.975000000000000089e+00,-1.070253107119462754e+00,-5.393000000000000016e-01,-4.955559999999999826e-02,-6.555456670490701458e-03,-4.992499119607266694e-02,-6.687738407969534386e-03
4.000000000000000000e+00,-2.125731791872055521e+00,-8.663000000000000700e-01,-5.032089999999999480e-02,-6.723008278682157147e-03,-5.066564819801966379e-02,-6.831181238136962812e-03
4.025000000000000355e+00,-1.388096775089302071e+00,-1.114200000000000079e+00,-5.079130000000000450e-02,-6.745697558958083963e-03,-5.107788383053869785e-02,-6.815910202641310527e-03
4.049999999999999822e+00,-1.694462573875421763e+00,-1.404300000000000104e+00,-5.095449999999999979e-02,-6.621779182066486399e-03,-5.115396132844948762e-02,-6.639810268700412944e-03
4.075000000000000178e+00,-2.842668573573026158e+00,-1.699900000000000189e+00,-5.074270000000001557e-02,-6.279694648675598206e-03,-5.088808369515950697e-02,-6.300462105129363277e-03
4.100000000000000533e+00,-3.870986183071501774e+00,-2.157099999999999795e+00,-5.008639999999999620e-02,-5.721189288037412286e-03,-5.027660875315433098e-02,-5.795262025963119484e-03
4.125000000000000000e+00,-3.649122765994836204e+00,-2.372899999999999565e+00,-4.935200000000000697e-02,-5.192354524683129996e-03,-4.931821905972526288e-02,-5.121632354446732475e-03
4.150000000000000355e+00,-4.113581558211816258e+00,-2.466199999999999726e+00,-4.797130000000001532e-02,-4.277801996638102254e-03,-4.801403210882966566e-02,-4.277302297039408015e-03
4.174999999999999822e+00,-4.733887236591411529e+00,-2.749299999999999855e+00,-4.645160000000001649e-02,-3.326597554301191900e-03,-4.636763787688952254e-02,-3.260632298840395425e-03
4.200000000000000178e+00,-3.888468974965353375e+00,-2.834699999999999775e+00,-4.460679999999999507e-02,-2.209586833024820927e-03,-4.438505699350306366e-02,-2.070952964057963704e-03
4.225000000000000533e+00,-4.998941175113116309e+00,-2.978699999999999903e+00,-4.206510000000000110e-02,-7.016223593017204821e-04,-4.207462181818930058e-02,-7.088922214937985918e-04
4.250000000000000000e+00,-5.560818586270972474e+00,-3.023100000000000342e+00,-4.002330000000000471e-02,4.939281783143952909e-04,-3.944679024385899097e-02,8.233321896225255510e-04
4.275000000000000355e+00,-4.920363902051281713e+00,-3.051400000000000112e+00,-3.732300000000000895e-02,2.061233846605303212e-03,-3.651390457602724654e-02,2.521677056859309308e-03
4.299999999999999822e+00,-4.393792395014119556e+00,-2.910700000000000287e+00,-3.327019999999998590e-02,4.398229715025710543e-03,-3.328990483409532963e-02,4.380119710559299794e-03
4.325000000000000178e+00,-4.376360955051476154e+00,-2.825300000000000367e+00,-2.991909999999998668e-02,6.319837221471467058e-03,-2.979000078334324494e-02,6.390613567769705232e-03
4.350000000000000533e+00,-4.403526793136061102e+00,-2.643200000000000216e+00,-2.635599999999999402e-02,8.356636458548850552e-03,-2.603030577787643005e-02,8.543177816849708422e-03
4.375000000000000000e+00,-4.173867546172477461e+00,-2.503199999999999648e+00,-2.322229999999999087e-02,1.014036295408705414e-02,-2.202744126109687159e-02,1.082613227155465943e-02
4.400000000000000355e+00,-3.044399971915448422e+00,-2.224499999999999922e+00,-1.855699999999998670e-02,1.278104611235447371e-02,-1.779813046464984519e-02,1.322646813968451560e-02
