Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter2_Right_X_Displacement_Delta(m),Iter2_Left_X_Displacement_Delta(m),Iter3_Right_X_Displacement_Delta(m),Iter3_Left_X_Displacement_Delta(m),Iter4_Right_X_Displacement_Delta(m),Iter4_Left_X_Displacement_Delta(m),Iter5_Right_X_Displacement_Delta(m),Iter5_Left_X_Displacement_Delta(m),Iter6_Right_X_Displacement_Delta(m),Iter6_Left_X_Displacement_Delta(m),Iter7_Right_X_Displacement_Delta(m),Iter7_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad),Iter2_Right_Rotation_Delta(rad),Iter2_Left_Rotation_Delta(rad),Iter3_Right_Rotation_Delta(rad),Iter3_Left_Rotation_Delta(rad),Iter4_Right_Rotation_Delta(rad),Iter4_Left_Rotation_Delta(rad),Iter5_Right_Rotation_Delta(rad),Iter5_Left_Rotation_Delta(rad),Iter6_Right_Rotation_Delta(rad),Iter6_Left_Rotation_Delta(rad),Iter7_Right_Rotation_Delta(rad),Iter7_Left_Rotation_Delta(rad)
5.500000000000000000e+00,2.678860205685268392e-02,-1.330340944721858376e-02,1.473356257186150819e-02,-6.873433298858117046e-03,1.219173194100658941e-02,-3.912384226814030752e-03,6.033304697986296983e-03,-4.966633866871281167e-03,1.654933122553214897e-03,-1.335531633994621603e-03,-4.808493032270655387e-03,7.796617275405010039e-04,7.134851700031918931e-04,-1.482654500244554030e-03,4.009201150407126768e-02,4.009201150407126768e-02,2.160699587071962524e-02,2.160699587071962524e-02,1.610050149963279664e-02,1.611186439750530996e-02,1.094990332882067596e-02,1.115575306119073740e-02,2.990464756547822622e-03,2.990464756547822622e-03,-5.588154759811142513e-03,-5.588154759811142513e-03,2.190915237377716318e-03,2.228360886405683639e-03
5.525000000000000355e+00,2.697688602424033744e-02,-1.340820393717469250e-02,1.480294677635085598e-02,-6.912371124244212628e-03,1.227047194053915158e-02,-3.941075606002292231e-03,6.082169009357096812e-03,-5.005556880801703690e-03,1.668360671845614540e-03,-1.348284374895758475e-03,-4.848199562533017648e-03,7.846592075829855739e-04,7.167095620109753540e-04,-1.496419698612375115e-03,4.038508996141501606e-02,4.038508996141501606e-02,2.171531790059508249e-02,2.171531790059508249e-02,1.620791240134994426e-02,1.621933226466878986e-02,1.103732407092505863e-02,1.124454575356184649e-02,3.016645046741373015e-03,3.016645046741373015e-03,-5.632858770116017100e-03,-5.632858770116017100e-03,2.207871340154654582e-03,2.245616546147716219e-03
5.550000000000000711e+00,2.716890007102507054e-02,-1.351510685442099124e-02,1.487739464872139816e-02,-6.954137942009525064e-03,1.235002262305795462e-02,-3.970365339844489361e-03,6.131991011476545239e-03,-5.044411288118499925e-03,1.681887837154727450e-03,-1.360937548262788899e-03,-4.888719693040222136e-03,7.896740043849270752e-04,7.199667157762323910e-04,-1.510415907516216016e-03,4.068400692544607566e-02,4.068400692544607566e-02,2.183153259073086772e-02,2.183153259073086772e-02,1.631673085296914127e-02,1.632821183240348861e-02,1.112562619073617642e-02,1.133423804252456368e-02,3.042825385417474715e-03,3.042825385417474715e-03,-5.678393697425121456e-03,-5.678393697425121456e-03,2.225091099187365140e-03,2.263141430034587565e-03
5.575000000000000178e+00,2.736449943000224261e-02,-1.362403979170925816e-02,1.495784999533444903e-02,-6.999246842434206362e-03,1.243000941360294931e-02,-3.999933439651187639e-03,6.183017875310725664e-03,-5.083424308219425258e-03,1.695325429790672800e-03,-1.373444535496440300e-03,-4.929915661596340204e-03,7.947272463833116030e-04,7.231855395943842524e-04,-1.524590990029314752e-03,4.098853922171152853e-02,4.098853922171152853e-02,2.195709683776864152e-02,2.195709683776864152e-02,1.642626202101202249e-02,1.643780903339808752e-02,1.121528813820668602e-02,1.142529958310262161e-02,3.068769965287071466e-03,3.068769965287071466e-03,-5.724642907979610174e-03,-5.724642907979610174e-03,2.242451144264828722e-03,2.280811386304704147e-03
5.600000000000000533e+00,2.756365823583256658e-02,-1.373490469494062505e-02,1.504510510243606269e-02,-7.048078364217655323e-03,1.251030848169260024e-02,-4.029485074235297781e-03,6.235362136021826984e-03,-5.122862925212398610e-03,1.708454243900536795e-03,-1.385799206382321014e-03,-4.971564341381962127e-03,7.998473429334795881e-04,7.262781425427800031e-04,-1.538902533807909312e-03,4.129856293077321938e-02,4.129856293077321938e-02,2.209318346665370414e-02,2.209318346665370414e-02,1.653608704368850213e-02,1.654770562263918610e-02,1.130669317583721245e-02,1.151810834694735886e-02,3.094253450282857809e-03,3.094253450282857809e-03,-5.771411684315441715e-03,-5.771411684315441715e-03,2.259820981752619362e-03,2.298494616541912894e-03
5.625000000000000000e+00,2.776645428365559498e-02,-1.384756428578635956e-02,1.513981003737169262e-02,-7.100878510814909172e-03,1.259100480850205983e-02,-4.058781224484442340e-03,6.289015303921396960e-03,-5.162985062864541841e-03,1.721104074048851462e-03,-1.398041693084398074e-03,-5.013436618244437870e-03,8.050843703319571221e-04,7.291543463291416671e-04,-1.553317109297486232e-03,4.161401856944194066e-02,4.161401856944194066e-02,2.224068854818658791e-02,2.224068854818658791e-02,1.664605175369068824e-02,1.665774790405327721e-02,1.140009377423906178e-02,1.161291487455157201e-02,3.119145767133207903e-03,3.119145767133207903e-03,-5.818520988576353359e-03,-5.818520988576353359e-03,2.277076668247862701e-03,2.316065977629011563e-03
5.650000000000000355e+00,2.797304809400180670e-02,-1.396184974537859058e-02,1.524247907687970027e-02,-7.157769121549320546e-03,1.267232161732279039e-02,-4.087666642018053520e-03,6.343896253996061940e-03,-5.203995576597286732e-03,1.733215323091896742e-03,-1.410248410669057151e-03,-5.055379143982796641e-03,8.105184868037323964e-04,7.317435233629154823e-04,-1.567803443573892452e-03,4.193489783938036952e-02,4.193489783938036952e-02,2.240024819842903470e-02,2.240024819842903470e-02,1.675622406185547919e-02,1.676800412300424870e-02,1.149561563727236058e-02,1.170984575827266339e-02,3.143463733760898382e-03,3.143463733760898382e-03,-5.865897630786515160e-03,-5.865897630786515160e-03,2.294115766103693721e-03,2.333422541480834056e-03
5.675000000000000711e+00,2.818367427055840091e-02,-1.407759498545978205e-02,1.535347216314081331e-02,-7.218759910447403172e-03,1.275456546728093166e-02,-4.116096727410964440e-03,6.399912287954889756e-03,-5.246015827468072934e-03,1.744853408711444231e-03,-1.422511259619230195e-03,-5.097362013780470935e-03,8.162511335540328927e-04,7.340189422057608049e-04,-1.582329472774812729e-03,4.226126925601816908e-02,4.226126925601816908e-02,2.257223207358818873e-02,2.257223207358818873e-02,1.686686592277511498e-02,1.687873642848269906e-02,1.159328799540246258e-02,1.180893357841644731e-02,3.167364668330674426e-03,3.167364668330674426e-03,-5.913613147334545461e-03,-5.913613147334545461e-03,2.310878800272392342e-03,2.350505312407463743e-03
5.700000000000000178e+00,2.839864682367743143e-02,-1.419468042933713647e-02,1.547294858445236176e-02,-7.283748870100206774e-03,1.283811570378118327e-02,-4.144162653440378041e-03,6.457004265939980669e-03,-5.289073557619927701e-03,1.756177280651083361e-03,-1.434914134543524566e-03,-5.139475017055694650e-03,8.223783808118945160e-04,7.360138417413231160e-04,-1.596864836221650874e-03,4.259332725301456790e-02,4.259332725301456790e-02,2.275669745455258242e-02,2.275669745455258242e-02,1.697844790827648942e-02,1.699041542243895364e-02,1.169307829289151224e-02,1.191015177432366845e-02,3.191091415194635683e-03,3.191091415194635683e-03,-5.961853397867589166e-03,-5.961853397867589166e-03,2.327368005202501422e-03,2.367317770283872136e-03
5.725000000000000533e+00,2.861836705216441734e-02,-1.431306850277952458e-02,1.560081196904067324e-02,-7.352505783941185036e-03,1.292345530833710621e-02,-4.172107155839099857e-03,6.515159107085666257e-03,-5.333115626145232269e-03,1.767383743143335906e-03,-1.447513704969274895e-03,-5.181880686100093225e-03,8.289570636815790650e-04,7.378209370529353883e-04,-1.611383359863285958e-03,4.293143555494394192e-02,4.293143555494394192e-02,2.295331775298187216e-02,2.295331775298187216e-02,1.709169585667416613e-02,1.710376677143823909e-02,1.179491722362022155e-02,1.201344027163711581e-02,3.214897448112624678e-03,3.214897448112624678e-03,-6.010837749781672290e-03,-6.010837749781672290e-03,2.343649541080017329e-03,2.383927545254349578e-03
