Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad)
4.325000000000000178e+00,1.914480729947696733e-02,-9.363440178141134440e-03,2.850824747761810524e-02,2.850824747761810524e-02
4.350000000000000533e+00,1.935490830230329057e-02,-9.451337848970169098e-03,2.880624615127346314e-02,2.880624615127346314e-02
4.375000000000000000e+00,1.955745237970670652e-02,-9.537409934699307701e-03,2.909486231440601423e-02,2.909486231440601423e-02
4.400000000000000355e+00,1.975305190024727320e-02,-9.621819581142929123e-03,2.937487148139020579e-02,2.937487148139020579e-02
4.424999999999999822e+00,1.994236211416623369e-02,-9.704695931244792378e-03,2.964705804541102607e-02,2.964705804541102607e-02
4.450000000000000178e+00,2.012605061605182016e-02,-9.786138730066562541e-03,2.991218934611838270e-02,2.991218934611838270e-02
4.475000000000000533e+00,2.030478329529634279e-02,-9.866240834916141511e-03,3.017102413021248430e-02,3.017102413021248430e-02
4.500000000000000000e+00,2.047922359238874696e-02,-9.945120050418188723e-03,3.042434364280693221e-02,3.042434364280693221e-02
4.525000000000000355e+00,2.065003601973459946e-02,-1.002294812849949604e-02,3.067298414823409550e-02,3.067298414823409550e-02
4.549999999999999822e+00,2.081788450569719076e-02,-1.009996638166616584e-02,3.091785088736335660e-02,3.091785088736335660e-02
4.575000000000000178e+00,2.098342154844723417e-02,-1.017648240494751707e-02,3.115990395339475125e-02,3.115990395339475125e-02
4.600000000000000533e+00,2.114727135876628278e-02,-1.025284887586665195e-02,3.140012023463293472e-02,3.140012023463293472e-02
4.625000000000000000e+00,2.131001334445159143e-02,-1.032943107064196453e-02,3.163944441509355249e-02,3.163944441509355249e-02
4.650000000000000355e+00,2.147216921439464021e-02,-1.040657206361795921e-02,3.187874127801260116e-02,3.187874127801260116e-02
4.674999999999999822e+00,2.163419104418716488e-02,-1.048456289553081552e-02,3.211875393971797693e-02,3.211875393971797693e-02
