Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
4.800000000000000711e+00,-6.951260418569356059e-01,-1.631000000000000227e-01,7.367000000000004621e-03,7.229677360536110320e-02,7.727639918074654182e-03,7.255800124659320116e-02,3.875900181629955699e-03,8.116986722117219832e-02,-3.851739736444698484e-03,8.611865974578997163e-03,5.578375650407240566e-02
4.825000000000000178e+00,-1.132610812806115641e+00,-2.457000000000000295e-01,1.029749999999999936e-02,7.549945278277070404e-02,1.080470021384535156e-02,7.591484492989639121e-02,6.914553319017739674e-03,8.461364615202113248e-02,-3.890146894827611890e-03,8.698801222124741273e-03,5.578375650407240566e-02
4.850000000000000533e+00,-2.755837733105402990e-02,-1.926999999999999824e-01,1.372929999999999463e-02,7.934092246641022417e-02,1.387112651088112832e-02,7.934319187841336329e-02,9.942887456129700929e-03,8.812809951662953223e-02,-3.928239054751427387e-03,8.784907638216168935e-03,5.578375650407240566e-02
4.875000000000000000e+00,-6.942400813425575468e-01,-3.079000000000000625e-01,1.666509999999999520e-02,8.271464391051526477e-02,1.691636168530789158e-02,8.284491201409253935e-02,1.295045526656009999e-02,9.171489493140176641e-02,-3.965906418747791595e-03,8.869982917309227055e-03,5.578375650407240566e-02
4.900000000000000355e+00,-1.034002987606326363e+00,-2.095000000000000195e-01,1.907879999999999993e-02,8.555429460351005044e-02,1.993162795621932978e-02,8.641963971778827969e-02,1.592850697535309196e-02,9.537355629236744792e-02,-4.003120980866237827e-03,8.953916574579168230e-03,5.578375650407240566e-02
4.925000000000000711e+00,2.714458079211307107e-01,-1.008999999999999758e-01,2.288290000000000809e-02,9.017418113353903308e-02,2.291025011211160131e-02,9.006462741140452977e-02,1.887030142674669259e-02,9.910140578629515751e-02,-4.039948685364908726e-03,9.036778374890627741e-03,5.578375650407240566e-02
4.950000000000000178e+00,-1.353254854260565798e+00,-1.108999999999999986e-01,2.523069999999999827e-02,9.311331559389747492e-02,2.584785675173222053e-02,9.377474560296146511e-02,2.177131619393476297e-02,1.028936274647674759e-01,-4.076540557797457554e-03,9.118881861806010791e-03,5.578375650407240566e-02
4.975000000000000533e+00,-3.214497813841356993e-02,7.779999999999999416e-02,2.799930000000000474e-02,9.666680595095793194e-02,2.874245366119319856e-02,9.754262997198608065e-02,2.462934309104899966e-02,1.067434255140659594e-01,-4.113110570144198896e-03,9.200795542079878708e-03,5.578375650407240566e-02
5.000000000000000000e+00,-8.902935111737862728e-02,1.101999999999999785e-01,3.072320000000000606e-02,1.002569482223102659e-01,3.159437441585746104e-02,1.013589608442476836e-01,2.744446322678639749e-02,1.106422514985362371e-01,-4.149911189071063544e-03,9.283290654288553490e-03,5.578375650407240566e-02
5.025000000000000355e+00,-8.387976219521615651e-01,1.516000000000000125e-01,3.342900000000000038e-02,1.039081770174824088e-01,3.440611417086584384e-02,1.052128506510073142e-01,3.021890431665306270e-02,1.145800787019806283e-01,-4.187209854212781135e-03,9.367228050973314124e-03,5.578375650407240566e-02
5.050000000000000711e+00,2.487793072725052734e-01,4.137999999999999456e-01,3.703199999999999548e-02,1.088823653856662577e-01,3.718204842600289495e-02,1.090923100061368112e-01,3.295678848052161630e-02,1.185457125185121335e-01,-4.225259945481278645e-03,9.453402512375322364e-03,5.578375650407240566e-02
5.075000000000000178e+00,-9.868780442122780938e-01,3.901999999999999913e-01,3.971710000000000518e-02,1.126522765699740081e-01,3.992804055949024378e-02,1.129847591913879234e-01,3.566377934514049913e-02,1.225271424448366592e-01,-4.264261214349744644e-03,9.542383253448735725e-03,5.578375650407240566e-02
5.100000000000000533e+00,-5.257386819520891457e-05,5.360000000000000320e-01,4.235899999999999388e-02,1.163942624862498443e-01,4.265095578201798243e-02,1.168775468959817321e-01,3.834663743490371313e-02,1.265119485295455037e-01,-4.304318347114269305e-03,9.634401633563771661e-03,5.578375650407240566e-02
5.125000000000000000e+00,8.201154882572008198e-01,6.310999999999999943e-01,4.497159999999999352e-02,1.201118137929977625e-01,4.535811795490579668e-02,1.207584322730427262e-01,4.101270046246774381e-02,1.304877568770924923e-01,-4.345417492438052864e-03,9.729324604049766068e-03,5.578375650407240566e-02
5.150000000000000355e+00,1.950449041442848044e-02,5.314999999999999725e-01,4.802000000000000018e-02,1.244437209964476820e-01,4.805675613192629536e-02,1.246159831282477731e-01,4.366932203449273853e-02,1.344426995732464769e-01,-4.387434097433556834e-03,9.826716444998703781e-03,5.578375650407240566e-02
