Time(s),Fb_Right_Filtered(N),Mb_Right_Filtered(Nm),Fb_Left_Filtered(N),Mb_Left_Filtered(Nm),Fb_Right_Raw(N),Mb_Right_Raw(Nm),Fb_Left_Raw(N),Mb_Left_Raw(Nm),Ext_Force_Body(N),Ext_Moment_Body(Nm),X_Num_Right_Interface(m),X_Exp_Right_Interface(m),X_Cmd_Right_Interface(m),Rz_Num_Right_Interface(rad),Rz_Exp_Right_Interface(rad),Rz_Cmd_Right_Interface(rad),X_Num_Left_Interface(m),X_Exp_Left_Interface(m),X_Cmd_Left_Interface(m),Rz_Num_Left_Interface(rad),Rz_Exp_Left_Interface(rad),Rz_Cmd_Left_Interface(rad),X_Body_COM(m),Rz_Body(rad)
7.950000000000000178e+00,-2.588890558849277213e+00,-2.248494590295090134e+00,-1.679669201138057177e+00,-1.329206948960398815e+00,-3.055199608238441833e+00,-2.231399999999999828e+00,-2.434576196413679838e+00,-1.365499999999999936e+00,4.252443634476958323e+02,6.116453899571953201e+01,-3.615163488162156935e-02,-3.425849999999999729e-02,-3.431998032233800344e-02,7.570573492719065434e-02,7.626390699514422333e-02,7.635218428705181637e-02,-1.118573698088122237e-01,-1.105426999999999937e-01,-1.106667297767213454e-01,7.570573492719065434e-02,7.622725508085233248e-02,7.629814940438378601e-02,-7.400450234521689652e-02,7.570573492719065434e-02
7.975000000000000533e+00,-2.742296312167438632e+00,-2.383149609715242256e+00,-1.866736670725781089e+00,-1.508367311426344504e+00,-2.924946199430127347e+00,-2.330700000000000216e+00,-1.267551554905653299e+00,-1.466400000000000148e+00,4.067969228471361021e+02,5.927633308606255014e+01,-3.606656719750473555e-02,-3.421740000000000198e-02,-3.422404246355384427e-02,7.633508484803765148e-02,7.685033762381432432e-02,7.698425010548072545e-02,-1.124016520455423940e-01,-1.111602000000000007e-01,-1.112028412926543003e-01,7.633508484803765148e-02,7.692538678165007637e-02,7.692990970047380861e-02,-7.423410962152356130e-02,7.633508484803765148e-02
8.000000000000000000e+00,-2.882615931655379882e+00,-2.439316266769015140e+00,-2.022535516797958177e+00,-1.620013840554133111e+00,-2.497094744862710769e+00,-2.470399999999999707e+00,-1.818895034638595698e+00,-1.625900000000000123e+00,3.895681869310391221e+02,5.799168290129694014e+01,-3.575636033119725110e-02,-3.397020000000000595e-02,-3.390318470390062816e-02,7.707929342099534287e-02,7.753799734910007957e-02,7.773088782670649344e-02,-1.128356537521925940e-01,-1.115811999999999915e-01,-1.116286045874950311e-01,7.707929342099534287e-02,7.764271710421974393e-02,7.767623906993796623e-02,-7.429600704169492253e-02,7.707929342099534287e-02
8.025000000000000355e+00,-3.006402145769452972e+00,-2.407323365998601084e+00,-2.117908368281066878e+00,-1.651454201239863417e+00,-2.792520946797842019e+00,-2.463700000000000223e+00,-2.771384365603240418e+00,-1.680000000000000160e+00,3.744369340352361064e+02,5.724993236090682558e+01,-3.522973960989955050e-02,-3.351969999999999950e-02,-3.336603441940502734e-02,7.793532416552710618e-02,7.833037682950551306e-02,7.858911741919352711e-02,-1.131650637754266497e-01,-1.119041000000000063e-01,-1.119496671620678618e-01,7.793532416552710618e-02,7.845778586490109729e-02,7.853415800376817302e-02,-7.419740169266310359e-02,7.793532416552710618e-02
8.050000000000000711e+00,-3.092469424968423919e+00,-2.287033907249047093e+00,-2.120312593288225855e+00,-1.595992530923096897e+00,-3.005512144163428712e+00,-2.324600000000000222e+00,-1.689252139031818478e+00,-1.592099999999999849e+00,3.621842677382216493e+02,5.694804240468702972e+01,-3.449382748931929116e-02,-3.286429999999998519e-02,-3.261960977375514409e-02,7.890155025690630264e-02,7.923096672353457937e-02,7.955735455565035585e-02,-1.133953777462256007e-01,-1.121322999999999903e-01,-1.121714629208361985e-01,7.890155025690630264e-02,7.937408372219811881e-02,7.950208253085086496e-02,-7.394460261777244248e-02,7.890155025690630264e-02
8.075000000000001066e+00,-3.108753349743581307e+00,-2.090021411436207455e+00,-2.011894605822195814e+00,-1.456638094922468873e+00,-3.598302436567019313e+00,-2.060900000000000176e+00,-2.260918963172389606e+00,-1.478400000000000158e+00,3.534474872090534632e+02,5.695347781295878775e+01,-3.355390595581539404e-02,-3.167240000000001027e-02,-3.166909688115829985e-02,7.997754883367139134e-02,8.061152216186209807e-02,8.063521538193257898e-02,-1.135314547894867854e-01,-1.122701000000000116e-01,-1.122987940978938115e-01,7.997754883367139134e-02,8.040033732237078512e-02,8.057962904162814521e-02,-7.354268037265108970e-02,7.997754883367139134e-02
8.099999999999999645e+00,-3.032257629034697199e+00,-1.836328548390340210e+00,-1.800603546746285533e+00,-1.246995279312756555e+00,-3.234952166227193615e+00,-1.790699999999999958e+00,-1.814955900940433908e+00,-1.230399999999999938e+00,3.486813844075761040e+02,5.711903738435717059e+01,-3.241327997519717619e-02,-3.075350000000000306e-02,-3.051772709161391581e-02,8.116381595311120134e-02,8.156970792120699087e-02,8.182324288576157956e-02,-1.135770959283083775e-01,-1.123232000000000119e-01,-1.123354349208366687e-01,8.116381595311120134e-02,8.173202354164245398e-02,8.176734073322196317e-02,-7.299518795175277686e-02,8.116381595311120134e-02
8.125000000000000000e+00,-2.864612444094104315e+00,-1.548004413323715855e+00,-1.518292135556615907e+00,-9.886558637297324648e-01,-2.525615343339572938e+00,-1.486799999999999899e+00,-1.402987390649471866e+00,-9.999000000000000110e-01,3.481293752297883088e+02,5.729832210158654959e+01,-3.107325430546886702e-02,-2.949219999999999620e-02,-2.916675982012765372e-02,8.246143029319472073e-02,8.280191037311498969e-02,8.312257710972553726e-02,-1.135346845986635878e-01,-1.122796999999999962e-01,-1.122837847039558357e-01,8.246143029319472073e-02,8.297295263981041558e-02,8.306635790876784609e-02,-7.230396945206622739e-02,8.246143029319472073e-02
8.150000000000000355e+00,-2.628812190527758830e+00,-1.244118463168853106e+00,-1.208456355036109153e+00,-7.061681039756282363e-01,-2.695267243635319776e+00,-1.308699999999999974e+00,-1.148001063717290826e+00,-6.943999999999999062e-01,3.518062877213139927e+02,5.736050130122171709e+01,-2.953322313570006658e-02,-2.753020000000000814e-02,-2.761556829542539948e-02,8.387169928258676743e-02,8.459610884416515764e-02,8.453459975039573360e-02,-1.134049224182868409e-01,-1.121526000000000051e-01,-1.121445982924352408e-01,8.387169928258676743e-02,8.431336550534207497e-02,8.447806265480289900e-02,-7.146907277699345029e-02,8.387169928258676743e-02
8.175000000000000711e+00,-2.351998970230250396e+00,-9.403042304097624093e-01,-9.117646197016999743e-01,-4.218316609291042352e-01,-1.722945338757026601e+00,-9.543999999999999151e-01,-8.046977906457806196e-01,-3.760999999999999899e-01,3.594939317700990955e+02,5.720311198362406202e+01,-2.779085464689671353e-02,-2.613689999999999763e-02,-2.586181633747990788e-02,8.539582735230170918e-02,8.580911267430121891e-02,8.606059081949860023e-02,-1.131866819991984296e-01,-1.118945999999999968e-01,-1.119168195992934767e-01,8.539582735230170918e-02,8.602029751379253186e-02,8.600373552737691774e-02,-7.048876832304756812e-02,8.539582735230170918e-02
