Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
3.325000000000000178e+00,1.652103918567926932e+00,1.646999999999999797e+00,1.178560000000000198e-02,3.961199270326330735e-02,1.067596435626906939e-02,3.855778455245258834e-02
3.350000000000000089e+00,6.705316236127893958e-01,1.613700000000000134e+00,8.189700000000002880e-03,3.623128994215028126e-02,7.514061988279530958e-03,3.562456046020624767e-02
3.375000000000000000e+00,1.704735212997052995e+00,1.508099999999999996e+00,5.166499999999999218e-03,3.341956451718742366e-02,4.425706948395160753e-03,3.278043005906260826e-02
3.400000000000000355e+00,1.924182023173250267e+00,1.324199999999999822e+00,2.200100000000006044e-03,3.067241627454835029e-02,1.419252412089602646e-03,3.001792150457489178e-02
3.425000000000000266e+00,6.853487975125371889e-01,9.831999999999999629e-01,-6.891999999999996220e-04,2.799857186049303434e-02,-1.498134271231458875e-03,2.732986850596269904e-02
3.450000000000000178e+00,1.076105558217947289e+00,5.810999999999999499e-01,-4.362999999999999691e-03,2.458296251434013285e-02,-4.320816812541239046e-03,2.470999536252494605e-02
3.475000000000000089e+00,1.510042839297613126e-01,2.773999999999999799e-01,-6.548699999999996711e-03,2.253394597249878603e-02,-7.044922716967648782e-03,2.215341726815156856e-02
3.500000000000000000e+00,-6.037660816531855712e-01,-8.479999999999998650e-02,-9.058699999999987248e-03,2.016029818978650259e-02,-9.668446552470382621e-03,1.965702610623504959e-02
3.525000000000000355e+00,-7.638471319320849773e-01,-3.565000000000000391e-01,-1.106960000000000929e-02,1.823694535408874884e-02,-1.219121556870122677e-02,1.721974024367259326e-02
3.550000000000000266e+00,-6.983377473393469481e-01,-6.824999999999999956e-01,-1.341179999999999976e-02,1.596976265574811746e-02,-1.461471900262517262e-02,1.484260725072885853e-02
3.575000000000000178e+00,-1.164391868399132557e+00,-9.804000000000000492e-01,-1.643819999999999656e-02,1.299746693960177231e-02,-1.694181223472047276e-02,1.252876002689967683e-02
3.600000000000000089e+00,-1.745810878036267111e+00,-1.218100000000000183e+00,-1.862960000000001004e-02,1.081929603311284835e-02,-1.917631599505788265e-02,1.028323760244249929e-02
3.625000000000000000e+00,-8.229182838881489159e-01,-1.273200000000000109e+00,-2.106870000000000617e-02,8.379325738824777367e-03,-2.132253820470656619e-02,8.112690945199802633e-03
3.650000000000000355e+00,-1.699551969750123792e+00,-1.328199999999999825e+00,-2.273580000000001086e-02,6.709045644666203519e-03,-2.338475184062125886e-02,6.025001808294379660e-03
3.675000000000000266e+00,-2.643465417455273858e+00,-1.332300000000000040e+00,-2.530199999999999463e-02,4.145156973486532372e-03,-2.536666670170106136e-02,4.028849102028936660e-03
3.700000000000000178e+00,-1.308694411216955400e+00,-1.161200000000000010e+00,-2.684469999999998871e-02,2.617993877991494061e-03,-2.727093522039993403e-02,2.133260944786667408e-03
3.725000000000000089e+00,-9.974655354233854521e-01,-9.688999999999999835e-01,-2.890549999999999023e-02,6.056292504420323448e-04,-2.909873055410414425e-02,3.471893484589747003e-04
3.750000000000000000e+00,-1.133430187236337039e+00,-7.463000000000000744e-01,-3.058369999999999492e-02,-9.948376736367678299e-04,-3.084942825752139128e-02,-1.320861738095144245e-03
3.775000000000000355e+00,-2.684497258860038538e-01,-3.934000000000000830e-01,-3.219300000000001327e-02,-2.488839513343913887e-03,-3.252041275430394424e-02,-2.863132869809834405e-03
3.800000000000000266e+00,-4.430629318468911615e-01,-9.200000000000008171e-02,-3.373040000000000066e-02,-3.871140280923422890e-03,-3.410701986738032265e-02,-4.272815520841485512e-03
3.825000000000000178e+00,9.746000636423982066e-02,2.024999999999999578e-01,-3.517689999999999012e-02,-5.124286683855352152e-03,-3.560261857458179441e-02,-5.544160066438375868e-03
3.850000000000000089e+00,2.152909130770850055e-01,4.341999999999999749e-01,-3.652559999999999835e-02,-6.241297405131722258e-03,-3.699882806582639044e-02,-6.672483506430391433e-03
3.875000000000000000e+00,5.000034761894847080e-01,7.500000000000000000e-01,-3.797880000000000700e-02,-7.379252077432025408e-03,-3.828585845647681368e-02,-7.654083667554529777e-03
3.900000000000000355e+00,1.771692620137558238e+00,9.299999999999999378e-01,-3.911420000000000868e-02,-8.213519459885314580e-03,-3.945295494978557499e-02,-8.486075926195220387e-03
