Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Right
5.575000000000000178e+00,3.415812323162456643e+00,3.200899717949917456e+00,2.569794000000000245e-01,1.587272234933723158e-01,2.570513483395331922e-01,1.587504699850720569e-01,2.720091983348676412e-01,1.807075668228406984e-01,1.495784999533444903e-02,2.195709683776864152e-02,1.462170021962233279e-01
5.600000000000000533e+00,3.746094638227224216e+00,3.493699999999999584e+00,2.615531999999999857e-01,1.609647355944290315e-01,2.613423973581549542e-01,1.608494365327579334e-01,2.763875024605910169e-01,1.829426199994116375e-01,1.504510510243606269e-02,2.209318346665370414e-02,1.462170021962233279e-01
5.625000000000000000e+00,4.712811520378079599e+00,3.596400000000000041e+00,2.652912000000000048e-01,1.627781326872511369e-01,2.653602948753744362e-01,1.627991168461060956e-01,2.805001049127461288e-01,1.850398053942926835e-01,1.513981003737169262e-02,2.224068854818658791e-02,1.462170021962233279e-01
5.650000000000000355e+00,4.598014382527692234e+00,3.396200000000000330e+00,2.676617999999999498e-01,1.639230686765594247e-01,2.690934110356835163e-01,1.645979688336365598e-01,2.843358901125632165e-01,1.869982170320655945e-01,1.524247907687970027e-02,2.240024819842903470e-02,1.462170021962233279e-01
5.675000000000000711e+00,4.649548945929089072e+00,3.399799999999999933e+00,2.699248000000000203e-01,1.650121541298038841e-01,2.725328978501416755e-01,1.662462629465304709e-01,2.878863700132824888e-01,1.888184950201186596e-01,1.535347216314081331e-02,2.257223207358818873e-02,1.462170021962233279e-01
5.700000000000000178e+00,5.162410561804525955e+00,3.342600000000000016e+00,2.720873000000000319e-01,1.660523703639924797e-01,2.756727988095615811e-01,1.677461635635801307e-01,2.911457473940139429e-01,1.905028610181327131e-01,1.547294858445236176e-02,2.275669745455258242e-02,1.462170021962233279e-01
5.725000000000000533e+00,3.968853839518896365e+00,2.960700000000000109e+00,2.746843999999999952e-01,1.672967901206644514e-01,2.785100109421962955e-01,1.691016886601612035e-01,2.941108229112369687e-01,1.920550064131430756e-01,1.560081196904067324e-02,2.295331775298187216e-02,1.462170021962233279e-01
5.750000000000000000e+00,3.611124476737862743e+00,2.595500000000000362e+00,2.776729000000000558e-01,1.687349414243077828e-01,2.810441003466489507e-01,1.703185392087306071e-01,2.967807774820250266e-01,1.934798663868877722e-01,1.573667713537607593e-02,2.316132717815716502e-02,1.462170021962233279e-01
5.775000000000000355e+00,3.910095701654772160e+00,2.160199999999999676e+00,2.804892999999999414e-01,1.700997888993673601e-01,2.832769828495031450e-01,1.714038015234847778e-01,2.991568674383690563e-01,1.947833321342109236e-01,1.587988458886591125e-02,2.337953061072614580e-02,1.462170021962233279e-01
5.800000000000000711e+00,2.126021665010263018e+00,1.513700000000000045e+00,2.834312999999999971e-01,1.715484121785226523e-01,2.852124914227475161e-01,1.723655368145985967e-01,3.012420622414069271e-01,1.959719433006208988e-01,1.602957081865941102e-02,2.360640648602230218e-02,1.462170021962233279e-01
5.825000000000000178e+00,2.146322461122798675e+00,1.066100000000000048e+00,2.858802000000000287e-01,1.727893412766906278e-01,2.868558596989352338e-01,1.732122813274864503e-01,3.030406403522216130e-01,1.970525716917632120e-01,1.618478065328637916e-02,2.384029036427676163e-02,1.462170021962233279e-01
5.850000000000000533e+00,1.504440811151007917e+00,5.197000000000000508e-01,2.880217999999999945e-01,1.739360225952508998e-01,2.882131556782345783e-01,1.739524875564042172e-01,3.045577468698265067e-01,1.980320768603811565e-01,1.634459119159192841e-02,2.407958930397693931e-02,1.462170021962233279e-01
5.875000000000000000e+00,1.130948980167395090e+00,2.460999999999999854e-01,2.891999000000000097e-01,1.746254276497886671e-01,2.892907021386479371e-01,1.745939424781407512e-01,3.057989153438278596e-01,1.989169059905536718e-01,1.650821320517992241e-02,2.432296351241292065e-02,1.462170021962233279e-01
5.900000000000000355e+00,2.087836370033754108e+00,2.639999999999998945e-02,2.899307999999999885e-01,1.751019025355831094e-01,2.900945212265929607e-01,1.751432023545375638e-01,3.067695699486431282e-01,1.997126333363286044e-01,1.667504872205016753e-02,2.456943098179104057e-02,1.462170021962233279e-01
5.925000000000000711e+00,1.270718525279650013e+00,7.699999999999990706e-03,2.904529999999999612e-01,1.754980922757858330e-01,2.906298402465113950e-01,1.756050846323446712e-01,3.074745466202586375e-01,2.004234761338239690e-01,1.684470637374724244e-02,2.481839150147929773e-02,1.462170021962233279e-01
5.950000000000000178e+00,1.013850327181673894e+00,5.680000000000002408e-02,2.908832999999999558e-01,1.759955111126041971e-01,2.909006929859216384e-01,1.759822552646863880e-01,3.079176869513685078e-01,2.010518572085371602e-01,1.701699396544686937e-02,2.506960194385077223e-02,1.462170021962233279e-01
5.975000000000000533e+00,1.379384213025941719e+00,3.025999999999999801e-01,2.909144999999999648e-01,1.762293852323714716e-01,2.909096452195857330e-01,1.762749443944120475e-01,3.081015535692325780e-01,2.015980869279453691e-01,1.719190834964684500e-02,2.532314253353332156e-02,1.462170021962233279e-01
