Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter2_Right_X_Displacement_Delta(m),Iter2_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad),Iter2_Right_Rotation_Delta(rad),Iter2_Left_Rotation_Delta(rad)
1.525000000000000133e+00,-4.352720973261448023e-03,6.699254102236762431e-04,-4.491717859039512373e-03,9.780671737981139202e-04,-5.022646383485152022e-03,-5.022646383485152022e-03,-5.469785032837681804e-03,-5.469785032837681804e-03
1.550000000000000044e+00,-4.403183331831483915e-03,6.637425250530237797e-04,-4.555254353638682474e-03,9.835185132838208943e-04,-5.066925856884563206e-03,-5.066925856884563206e-03,-5.538772866922503368e-03,-5.538772866922503368e-03
1.575000000000000178e+00,-4.446347480875301184e-03,6.552040150352711478e-04,-4.612387855856880936e-03,9.867243945101411562e-04,-5.101551495910600087e-03,-5.101551495910600087e-03,-5.599112250367049848e-03,-5.599112250367049848e-03
1.600000000000000089e+00,-4.482819335925980475e-03,6.445139776718455948e-04,-4.663793736594590289e-03,9.878624502172583810e-04,-5.127333313597826070e-03,-5.127333313597826070e-03,-5.651656186811820914e-03,-5.651656186811820914e-03
1.625000000000000000e+00,-4.513377966532894359e-03,6.319385437716928955e-04,-4.710293900596573824e-03,9.872220679655041575e-04,-5.145316510304642765e-03,-5.145316510304642765e-03,-5.697515968562133493e-03,-5.697515968562133493e-03
1.650000000000000133e+00,-4.538931468991480589e-03,6.178024775934654045e-04,-4.752834598691746404e-03,9.851994564184785030e-04,-5.156733946584945993e-03,-5.156733946584945993e-03,-5.738034055110224907e-03,-5.738034055110224907e-03
1.675000000000000044e+00,-4.560450544893679403e-03,6.024710366836494302e-04,-4.792439290946304276e-03,9.822616597964517471e-04,-5.162921581577328833e-03,-5.162921581577328833e-03,-5.774700950742756023e-03,-5.774700950742756023e-03
1.700000000000000178e+00,-4.578882963376718074e-03,5.863150145610229735e-04,-4.830127007511508808e-03,9.788872497912826098e-04,-5.165197977937685536e-03,-5.165197977937685536e-03,-5.809014257302846929e-03,-5.809014257302846929e-03
1.725000000000000089e+00,-4.595056357123039614e-03,5.696635687927054104e-04,-4.866803466087699093e-03,9.755001115352157637e-04,-5.164719925915689513e-03,-5.164719925915689513e-03,-5.842303577622887101e-03,-5.842303577622887101e-03
1.750000000000000000e+00,-4.609582633898212656e-03,5.527541926278467521e-04,-4.903147921881567672e-03,9.724125846238274029e-04,-5.162336826526087163e-03,-5.162336826526087163e-03,-5.875560506505450586e-03,-5.875560506505450586e-03
1.775000000000000133e+00,-4.622781459483582545e-03,5.356904270485407515e-04,-4.939523335599493858e-03,9.697868812288401585e-04,-5.158471886532178807e-03,-5.158471886532178807e-03,-5.909310216828417284e-03,-5.909310216828417284e-03
1.800000000000000044e+00,-4.634636704191064105e-03,5.184158130444593837e-04,-4.975927808919922146e-03,9.676153022341316134e-04,-5.153052517235495733e-03,-5.153052517235495733e-03,-5.943543111154026004e-03,-5.943543111154026004e-03
1.825000000000000178e+00,-4.644788816644929152e-03,5.007087068361892879e-04,-5.011989397380733902e-03,9.657159869670972618e-04,-5.145497523481118440e-03,-5.145497523481118440e-03,-5.977705384347775652e-03,-5.977705384347775652e-03
1.850000000000000089e+00,-4.652556542010577445e-03,4.821985855533172938e-04,-5.046995326088932199e-03,9.637426039636742825e-04,-5.134755127563866983e-03,-5.134755127563866983e-03,-6.010737930052578726e-03,-6.010737930052578726e-03
